python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 5 --dropout_prob 0. --train

Random seed: 5
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37734
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch 172 | loss -0.264270887646 | 0.381262299058 bits | time 0:00:03   
| epoch 173 | loss -0.264023263934 | 0.380905053557 bits | time 0:00:03   
| epoch 174 | loss -0.264091278983 | 0.381003178531 bits | time 0:00:01   
| epoch 175 | loss -0.264013360575 | 0.380890766030 bits | time 0:00:01   
| epoch 176 | loss -0.263634111200 | 0.380343624837 bits | time 0:00:01   
| epoch 177 | loss -0.263652314900 | 0.380369887225 bits | time 0:00:01   
| epoch 178 | loss -0.263846053018 | 0.380649392246 bits | time 0:00:01   
| epoch 179 | loss -0.263730800026 | 0.380483117327 bits | time 0:00:01   
| epoch 180 | loss -0.264175732142 | 0.381125018685 bits | time 0:00:01   
| epoch 181 | loss -0.263759439269 | 0.380524435021 bits | time 0:00:02   
| epoch 182 | loss -0.263865882284 | 0.380677999832 bits | time 0:00:01   
| epoch 183 | loss -0.264056742349 | 0.380953352700 bits | time 0:00:01   
| epoch 184 | loss -0.264177589505 | 0.381127698293 bits | time 0:00:01   
| epoch 185 | loss -0.264041148323 | 0.380930855277 bits | time 0:00:01   
| epoch 186 | loss -0.263901591932 | 0.380729517963 bits | time 0:00:01   
| epoch 187 | loss -0.263737070655 | 0.380492163933 bits | time 0:00:01   
| epoch 188 | loss -0.264030571337 | 0.380915595911 bits | time 0:00:01   
| epoch 189 | loss -0.264121672937 | 0.381047027737 bits | time 0:00:01   
| epoch 190 | loss -0.263800032555 | 0.380582998754 bits | time 0:00:01   
| epoch 191 | loss -0.264129789418 | 0.381058737344 bits | time 0:00:01   
| epoch 192 | loss -0.264196654161 | 0.381155202777 bits | time 0:00:01   
| epoch 193 | loss -0.263843150208 | 0.380645204378 bits | time 0:00:02   
| epoch 194 | loss -0.263882224522 | 0.380701576697 bits | time 0:00:01   
| epoch 195 | loss -0.263853545069 | 0.380660200992 bits | time 0:00:01   
| epoch 196 | loss -0.263981017486 | 0.380844104816 bits | time 0:00:01   
| epoch 197 | loss -0.264115147332 | 0.381037613280 bits | time 0:00:01   
| epoch 198 | loss -0.263587626831 | 0.380276562068 bits | time 0:00:01   
| epoch 199 | loss -0.263883171100 | 0.380702942321 bits | time 0:00:01   
| epoch 200 | loss -0.263857583520 | 0.380666027246 bits | time 0:00:01   
| epoch 201 | loss -0.263702407243 | 0.380442155200 bits | time 0:00:01   
| epoch 202 | loss -0.264054693085 | 0.380950396237 bits | time 0:00:00   
| epoch 203 | loss -0.263797613048 | 0.380579508143 bits | time 0:00:00   
| epoch 204 | loss -0.263957984075 | 0.380810874629 bits | time 0:00:01   
| epoch 205 | loss -0.264063106958 | 0.380962534890 bits | time 0:00:00   
| epoch 206 | loss -0.263899015056 | 0.380725800316 bits | time 0:00:01   
| epoch 207 | loss -0.264223459694 | 0.381193874987 bits | time 0:00:01   
| epoch 208 | loss -0.263995093959 | 0.380864412873 bits | time 0:00:01   
| epoch 209 | loss -0.264170992784 | 0.381118181237 bits | time 0:00:01   
| epoch 210 | loss -0.264360111857 | 0.381391022385 bits | time 0:00:01   
| epoch 211 | loss -0.263831326097 | 0.380628145792 bits | time 0:00:01   
| epoch 212 | loss -0.263743833575 | 0.380501920763 bits | time 0:00:01   
| epoch 213 | loss -0.263871010649 | 0.380685398498 bits | time 0:00:01   
| epoch 214 | loss -0.263872296091 | 0.380687252999 bits | time 0:00:01   
| epoch 215 | loss -0.263869033289 | 0.380682545770 bits | time 0:00:01   
| epoch 216 | loss -0.263969363359 | 0.380827291465 bits | time 0:00:01   
| epoch 217 | loss -0.264024250406 | 0.380906476736 bits | time 0:00:01   
| epoch 218 | loss -0.263970944143 | 0.380829572055 bits | time 0:00:01   
| epoch 219 | loss -0.264116004977 | 0.381038850599 bits | time 0:00:00   
| epoch 220 | loss -0.263863921008 | 0.380675170307 bits | time 0:00:00   
| epoch 221 | loss -0.264105601443 | 0.381023841473 bits | time 0:00:01   
| epoch 222 | loss -0.264037771357 | 0.380925983345 bits | time 0:00:01   
| epoch 223 | loss -0.264082306592 | 0.380990234107 bits | time 0:00:00   
| epoch 224 | loss -0.263538999217 | 0.380206407251 bits | time 0:00:00   
| epoch 225 | loss -0.263895148796 | 0.380720222482 bits | time 0:00:00   
| epoch 226 | loss -0.264047811586 | 0.380940468333 bits | time 0:00:01   
| epoch 227 | loss -0.263926521811 | 0.380765484176 bits | time 0:00:01   
| epoch 228 | loss -0.263966438947 | 0.380823072430 bits | time 0:00:01   
| epoch 229 | loss -0.264245178491 | 0.381225208588 bits | time 0:00:01   
| epoch 230 | loss -0.264144450899 | 0.381079889391 bits | time 0:00:01   
| epoch 231 | loss -0.263627762675 | 0.380334465851 bits | time 0:00:01   
| epoch 232 | loss -0.263751025395 | 0.380512296367 bits | time 0:00:01   
| epoch 233 | loss -0.263994476467 | 0.380863522021 bits | time 0:00:01   
| epoch 234 | loss -0.264269819178 | 0.381260757584 bits | time 0:00:01   
| epoch 235 | loss -0.263836566418 | 0.380635705976 bits | time 0:00:01   
