python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 128 --dropout_prob 0.05 --train

Random seed: 128
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37654
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch 148 | loss -0.555243389439 | 0.801046884430 bits | time 0:00:01   
| epoch 149 | loss -0.556613679037 | 0.803023794437 bits | time 0:00:01   
| epoch 150 | loss -0.564411071235 | 0.814273053494 bits | time 0:00:01   
| epoch 151 | loss -0.564555620088 | 0.814481593407 bits | time 0:00:02   
| epoch 152 | loss -0.570025761501 | 0.822373339296 bits | time 0:00:01   
| epoch 153 | loss -0.562682987524 | 0.811779955694 bits | time 0:00:01   
| epoch 154 | loss -0.566157558948 | 0.816792702656 bits | time 0:00:02   
| epoch 155 | loss -0.566471005624 | 0.817244910622 bits | time 0:00:02   
| epoch 156 | loss -0.561024630339 | 0.809387452006 bits | time 0:00:02   
| epoch 157 | loss -0.569048308883 | 0.820963173252 bits | time 0:00:01   
| epoch 158 | loss -0.566635459741 | 0.817482167760 bits | time 0:00:02   
| epoch 159 | loss -0.578588513228 | 0.834726778749 bits | time 0:00:02   
| epoch 160 | loss -0.576965717485 | 0.832385579379 bits | time 0:00:01   
| epoch 161 | loss -0.575113918800 | 0.829713998599 bits | time 0:00:03   
| epoch 162 | loss -0.581577223792 | 0.839038576659 bits | time 0:00:02   
| epoch 163 | loss -0.573565640721 | 0.827480305493 bits | time 0:00:02   
| epoch 164 | loss -0.579892966807 | 0.836608707459 bits | time 0:00:02   
| epoch 165 | loss -0.579972072764 | 0.836722833230 bits | time 0:00:03   
| epoch 166 | loss -0.578830075517 | 0.835075279466 bits | time 0:00:05   
| epoch 167 | loss -0.580943862861 | 0.838124829984 bits | time 0:00:05   
| epoch 168 | loss -0.581760423569 | 0.839302878069 bits | time 0:00:02   
| epoch 169 | loss -0.591354282054 | 0.853143890128 bits | time 0:00:01   
| epoch 170 | loss -0.589990846042 | 0.851176867755 bits | time 0:00:01   
| epoch 171 | loss -0.587530137848 | 0.847626816245 bits | time 0:00:01   
| epoch 172 | loss -0.584654508440 | 0.843478159960 bits | time 0:00:01   
| epoch 173 | loss -0.590668166190 | 0.852154034173 bits | time 0:00:01   
| epoch 174 | loss -0.585629476635 | 0.844884741739 bits | time 0:00:01   
| epoch 175 | loss -0.584061305624 | 0.842622349199 bits | time 0:00:01   
| epoch 176 | loss -0.584291608643 | 0.842954606223 bits | time 0:00:01   
| epoch 177 | loss -0.591106582067 | 0.852786534585 bits | time 0:00:01   
| epoch 178 | loss -0.586030643878 | 0.845463503732 bits | time 0:00:01   
| epoch 179 | loss -0.594613720236 | 0.857846265428 bits | time 0:00:01   
| epoch 180 | loss -0.592188526686 | 0.854347450721 bits | time 0:00:02   
| epoch 181 | loss -0.595676655953 | 0.859379757516 bits | time 0:00:01   
| epoch 182 | loss -0.592807481555 | 0.855240413841 bits | time 0:00:01   
| epoch 183 | loss -0.596555842487 | 0.860648155569 bits | time 0:00:01   
| epoch 184 | loss -0.590407784327 | 0.851778382550 bits | time 0:00:01   
| epoch 185 | loss -0.598168655953 | 0.862974953559 bits | time 0:00:01   
| epoch 186 | loss -0.599379011427 | 0.864721127399 bits | time 0:00:01   
| epoch 187 | loss -0.603338960469 | 0.870434126244 bits | time 0:00:01   
| epoch 188 | loss -0.599435644694 | 0.864802831932 bits | time 0:00:01   
| epoch 189 | loss -0.597456286377 | 0.861947221504 bits | time 0:00:01   
| epoch 190 | loss -0.604782661487 | 0.872516946543 bits | time 0:00:01   
| epoch 191 | loss -0.602084860245 | 0.868624842070 bits | time 0:00:01   
| epoch 192 | loss -0.605299639291 | 0.873262787857 bits | time 0:00:02   
| epoch 193 | loss -0.602139096519 | 0.868703088474 bits | time 0:00:01   
| epoch 194 | loss -0.606910725487 | 0.875587093923 bits | time 0:00:01   
| epoch 195 | loss -0.609505374647 | 0.879330381398 bits | time 0:00:01   
| epoch 196 | loss -0.605309065046 | 0.873276386347 bits | time 0:00:01   
| epoch 197 | loss -0.601479181718 | 0.867751032663 bits | time 0:00:01   
| epoch 198 | loss -0.609595454498 | 0.879460339153 bits | time 0:00:01   
| epoch 199 | loss -0.602788323433 | 0.869639724922 bits | time 0:00:01   
| epoch 200 | loss -0.610118859485 | 0.880215452931 bits | time 0:00:01   
| epoch 201 | loss -0.609550627378 | 0.879395667289 bits | time 0:00:01   
| epoch 202 | loss -0.604041005952 | 0.871446963780 bits | time 0:00:01   
| epoch 203 | loss -0.608990511938 | 0.878587591522 bits | time 0:00:01   
| epoch 204 | loss -0.610947185549 | 0.881410474837 bits | time 0:00:01   
| epoch 205 | loss -0.608342358699 | 0.877652504058 bits | time 0:00:01   
| epoch 206 | loss -0.610634465591 | 0.880959315304 bits | time 0:00:01   
| epoch 207 | loss -0.618174736791 | 0.891837627171 bits | time 0:00:01   
| epoch 208 | loss -0.615018012195 | 0.887283436251 bits | time 0:00:01   
| epoch 209 | loss -0.614909245418 | 0.887126518961 bits | time 0:00:01   
| epoch 210 | loss -0.610390484017 | 0.880607324297 bits | time 0:00:01   
| epoch 211 | loss -0.610136503250 | 0.880240907504 bits | time 0:00:01   
| epoch 212 | loss -0.614600488773 | 0.886681077280 bits | time 0:00:01   
| epoch 213 | loss -0.613248109501 | 0.884730006412 bits | time 0:00:01   
| epoch 214 | loss -0.619935651357 | 0.894378089883 bits | time 0:00:01   
| epoch 215 | loss -0.619309634366 | 0.893474938274 bits | time 0:00:01   
| epoch 216 | loss -0.618531710115 | 0.892352630815 bits | time 0:00:01   
| epoch 217 | loss -0.618946603502 | 0.892951195447 bits | time 0:00:01   
| epoch 218 | loss -0.617390437531 | 0.890706122518 bits | time 0:00:01   
| epoch 219 | loss -0.621208489257 | 0.896214406810 bits | time 0:00:01   
| epoch 220 | loss -0.630641026585 | 0.909822681636 bits | time 0:00:01   
| epoch 221 | loss -0.620377028811 | 0.895014862946 bits | time 0:00:01   
| epoch 222 | loss -0.622759800849 | 0.898452476350 bits | time 0:00:01   
| epoch 223 | loss -0.621345173459 | 0.896411600429 bits | time 0:00:01   
| epoch 224 | loss -0.626764074087 | 0.904229421492 bits | time 0:00:01   
| epoch 225 | loss -0.623360790688 | 0.899319521410 bits | time 0:00:01   
| epoch 226 | loss -0.624461038992 | 0.900906844182 bits | time 0:00:01   
| epoch 227 | loss -0.627671529191 | 0.905538602470 bits | time 0:00:01   
| epoch 228 | loss -0.625425474397 | 0.902298230358 bits | time 0:00:01   
| epoch 229 | loss -0.627497481731 | 0.905287505063 bits | time 0:00:01   
| epoch 230 | loss -0.622430429218 | 0.897977293532 bits | time 0:00:01   
| epoch 231 | loss -0.626926347495 | 0.904463532533 bits | time 0:00:01   
| epoch 232 | loss -0.627420106997 | 0.905175876918 bits | time 0:00:01   
| epoch 233 | loss -0.622731037892 | 0.898410980175 bits | time 0:00:01   
| epoch 234 | loss -0.627891301634 | 0.905855667085 bits | time 0:00:01   
| epoch 235 | loss -0.628097191413 | 0.906152703248 bits | time 0:00:01   
| epoch 236 | loss -0.629348085002 | 0.907957361226 bits | time 0:00:01   
| epoch 237 | loss -0.630012627148 | 0.908916092883 bits | time 0:00:01   
| epoch 238 | loss -0.631346191905 | 0.910840020145 bits | time 0:00:01   
| epoch 239 | loss -0.632029498604 | 0.911825823331 bits | time 0:00:01   
