# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
4478168 0 2 0.005539 0.117200 0.149878 14.586499 146069.254109 50.041214 4.614197 4.657318 0.384763 0.035478 0.035810
4545187 0 2 0.003293 0.214400 0.077881 41.008112 137641.926394 48.883087 4.172378 5.029948 0.632270 0.053967 0.065059
4563268 0 2 0.004241 0.076800 0.100680 7.751928 138545.613925 48.245043 4.310921 4.045725 0.484435 0.043287 0.040624
4633570 0 2 0.003107 0.158900 0.078078 28.551582 112165.711611 39.325053 4.979348 3.590842 0.539101 0.068261 0.049226
4636578 0 2 0.006813 0.138500 0.194857 17.848508 158975.804428 53.733177 6.625288 5.039842 0.335879 0.041414 0.031503
4636578 1 3 0.101500 0.178600 11.189571 26.136344 584.529209 13.129694 2.266674 2.084317 0.082072 0.014169 0.013029
4644952 0 2 0.004092 0.068200 0.102220 6.941358 117314.618219 40.379666 5.352715 3.436789 0.420201 0.055702 0.035764
4644952 1 3 0.050000 0.187900 4.362732 31.782112 5476.826609 12.342585 2.562486 2.194678 0.128440 0.026666 0.022838
4645174 0 2 0.007445 0.216200 0.222311 34.749604 174189.555672 57.264050 7.119990 3.994629 0.327543 0.040725 0.022849
4665571 0 2 0.003665 0.049600 0.092635 4.603003 94340.977078 34.110199 3.062884 2.730807 0.396402 0.035594 0.031735
4725681 0 2 0.002437 0.132200 0.060011 23.967937 92263.065886 33.734475 3.353514 3.046039 0.589549 0.058607 0.053233
4736569 0 2 0.002609 0.075600 0.064980 10.132006 87681.126924 33.314700 2.636494 3.608556 0.543814 0.043037 0.058904
4739229 0 2 0.007529 1.501700 0.202604 571.280892 258768.444087 83.737657 9.761566 8.698688 0.473643 0.055214 0.049202
4741126 0 2 0.006041 0.153600 0.159428 20.422245 175675.011897 59.302193 6.330488 4.907291 0.418060 0.044628 0.034595
4742420 0 2 0.004609 0.691800 0.115783 205.414150 189355.122988 63.382354 8.094754 7.103422 0.575818 0.073539 0.064533
4757437 0 2 0.005688 0.113300 0.148494 13.193228 158297.934418 54.327623 4.328924 4.609814 0.406791 0.032414 0.034517
4770174 0 2 0.006822 0.216700 0.178794 31.953368 210896.593129 68.351810 5.163380 6.419641 0.426675 0.032232 0.040074
4770365 0 2 0.002804 0.046800 0.069500 4.729412 81695.923905 30.849749 2.475277 3.151802 0.468502 0.037591 0.047865
4770365 1 3 0.022800 0.074500 1.609322 9.512200 2781.098288 12.915466 1.707313 2.570796 0.196142 0.025928 0.039042
4831728 0 2 0.005460 0.088900 0.154031 10.107738 121645.500572 44.420883 3.686895 4.510414 0.346495 0.028759 0.035182
4832837 0 2 0.002590 0.048000 0.063499 5.065469 79952.622646 29.739381 2.916225 2.762833 0.488938 0.047945 0.045423
4833421 0 2 0.005539 0.105100 0.150929 12.466004 139384.971929 49.179059 5.164908 4.391950 0.378134 0.039713 0.033769
4833421 1 3 0.062900 0.151600 5.766166 21.587528 1934.868243 12.469252 2.177556 1.655533 0.095875 0.016743 0.012729
4833421 2 4 0.105100 0.221000 12.466004 37.996237 1170.871249 12.670061 2.665555 1.572872 0.097419 0.020495 0.012094
4833421 3 5 0.151600 0.287000 21.587528 56.259088 752.758092 13.095768 2.340704 1.853987 0.100692 0.017997 0.014255
4851530 0 2 0.003702 0.143700 0.095689 23.117072 121722.641083 42.973554 4.639681 3.678933 0.494385 0.053377 0.042324
4852528 0 2 0.002637 0.034600 0.064712 3.072147 71015.839365 26.819143 3.608052 2.699186 0.433151 0.058273 0.043594
4852528 1 3 0.016200 0.045600 0.986786 4.645382 1818.932021 12.707396 2.128819 1.916230 0.205235 0.034382 0.030949
4852528 2 4 0.034600 0.060200 3.072147 7.053527 288.477031 13.379439 3.018723 1.862254 0.216089 0.048755 0.030077
4852528 3 5 0.045600 0.073500 4.645382 9.521645 184.002422 14.374551 2.218670 2.536485 0.232161 0.035833 0.040966
4914423 0 2 0.006664 0.637200 0.192265 179.609803 192835.364908 64.706146 5.689363 5.905147 0.413501 0.036358 0.037737
4932442 0 2 0.006064 0.071500 0.126422 6.933652 139458.006673 49.466666 5.133174 6.394402 0.401232 0.041636 0.051866
4939346 0 2 0.004971 0.354000 0.118814 71.311660 205161.717689 65.816581 7.619001 6.512474 0.563813 0.065268 0.055789
4947556 0 2 0.003925 0.502900 0.097760 141.608555 154846.883323 51.978595 7.711704 3.879173 0.563974 0.083673 0.042090
5031857 0 2 0.004283 0.166800 0.102225 24.810972 165286.730345 57.479809 5.985408 5.548539 0.571522 0.059513 0.055169
5080636 0 2 0.002428 0.055200 0.058638 6.355857 81949.333347 30.260566 3.406435 2.275984 0.530865 0.059760 0.039928
