# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
3234843 1 2 0.093700 0.186200 10.613687 29.727220 909.449710 12.934524 2.152441 2.271022
3236705 0 1 0.005488 0.365400 551894.428604 83.266410 164627.380773 56.747807 6.462729 5.260885
3239171 0 1 0.004795 0.249800 417713.409218 43.581043 186943.372175 63.158147 4.994535 7.117549
3239671 0 1 0.004418 0.530200 405661.612542 147.973910 165509.977161 55.338260 5.094481 4.585959
3244792 0 1 0.003809 0.040000 321708.982036 3.057098 99948.409314 36.153513 3.733500 3.339277
3245969 0 1 0.003386 0.092000 283137.064186 11.391024 128878.472969 45.689174 4.559489 4.253352
3245969 1 2 0.092000 0.092600 11.391024 11.391110 -4.565363 0.000000 0.000000 0.000000
3248501 0 1 0.005302 0.054600 460606.084848 4.224642 129988.416785 45.664337 4.162135 4.122185
3323887 0 1 0.004446 0.027000 383115.182831 1.592960 73351.780093 27.351922 3.028462 2.615000
3323887 1 2 0.027000 0.142300 1.592960 19.270826 12039.321188 11.615701 2.198958 1.806046
3323887 2 3 0.142300 0.227300 19.270826 38.907875 232.541449 13.686121 2.134247 2.030964
3326377 0 1 0.003720 0.102700 328330.176823 13.227141 127619.551712 44.211206 4.757206 3.546727
3326377 1 2 0.102700 0.625300 13.227141 198.710625 12014.449212 11.836903 1.783372 2.168309
3328080 0 1 0.005232 0.052200 543586.733508 4.765591 88024.088478 32.121491 3.017379 3.359677
3329204 0 1 0.003995 0.267500 339184.947900 51.598096 168178.146781 56.908604 4.933409 5.059494
3338885 0 1 0.007752 0.030300 919847.718747 1.970340 38037.990586 15.559306 2.314946 1.718245
3338885 1 2 0.030300 0.056700 1.970340 5.058213 679.850467 13.814605 2.235113 2.476780
3340165 0 1 0.005646 0.184900 500431.839774 26.092284 198655.182938 66.909372 7.445123 5.553529
3342794 0 1 0.006111 0.056600 628391.890184 4.920311 100142.721831 36.738980 3.309327 3.846998
3342794 1 2 0.056600 0.114600 4.920311 14.172229 1017.411081 13.077682 1.502001 1.819803
3342970 0 1 0.005004 0.040100 430243.131390 2.711504 105879.814911 37.445146 4.665789 3.576226
3342970 1 2 0.040100 0.077000 2.711504 7.212037 934.721095 13.357519 2.260250 1.913778
3346154 0 1 0.004399 0.030800 379698.964783 1.952711 82742.927126 31.047558 3.122564 3.184239
3348216 0 1 0.006315 0.210800 606401.234782 32.510844 190020.832863 64.878624 4.144327 6.728963
3353050 0 1 0.011719 0.064100 1430190.461250 5.080058 86152.678030 31.752701 3.356329 3.602053
3354846 0 1 0.003855 0.133600 326558.206418 18.552516 150047.675548 51.640052 5.130173 5.334051
3355104 0 1 0.004171 0.254600 355496.740290 47.062898 172858.562799 57.892296 5.751885 4.895943
3356156 0 1 0.008041 1.650500 765536.498888 624.903380 286070.761410 90.385479 11.723289 9.535625
3425363 0 1 0.002953 0.145400 265912.075359 25.533853 107061.801690 38.951361 4.253959 4.224618
3425851 0 1 0.006320 0.475600 609134.287498 110.378383 208599.138525 67.552211 8.207977 7.464806
3426367 0 1 0.002014 0.025000 173215.084456 2.104335 55677.259139 21.256274 2.737672 2.000631
3428127 0 1 0.004492 0.905300 426944.970713 339.189980 160310.960366 55.687839 5.601327 6.615197
3433668 0 1 0.006427 0.119700 673425.071581 15.021978 140806.568023 49.427076 5.033255 5.335110
3438507 0 1 0.004855 0.083500 424666.756625 8.398430 148604.493436 51.290701 5.657395 5.766599
3440118 0 1 0.004111 0.140900 351537.432858 19.577833 156703.526816 54.160336 4.661802 6.060080
3441795 0 1 0.003702 0.932500 314452.849830 349.736520 166338.859447 58.194573 5.803876 5.340413
3442055 0 1 0.004632 0.181700 434042.857027 29.619389 150310.339342 51.486370 4.658575 4.370959
3444588 0 1 0.002800 0.015900 247031.156262 0.928310 41053.833230 16.690748 1.814816 1.879031
3446746 0 1 0.004130 0.103800 375637.213365 13.144967 130525.362971 45.791164 3.932572 5.052984
3448130 0 1 0.006497 0.365900 669043.829590 78.546111 182855.132531 61.314342 4.169562 4.825210
3450040 0 1 0.004204 0.021900 353656.593734 1.166960 61455.985561 23.197213 2.174030 2.381344
3458028 0 1 0.009501 0.028400 1006541.435820 1.442592 34847.396401 14.140601 1.604299 1.230017
3529290 0 1 0.004404 0.082300 399352.949629 8.953966 128970.502853 44.566261 4.863692 4.298726
3529290 1 2 0.082300 0.109400 8.953966 13.728137 62.825065 8.668007 4.375827 2.069164
3531558 0 1 0.006125 0.165100 642568.990052 24.993243 147883.261440 51.455087 4.214063 5.163198
3534076 0 1 0.003679 0.765200 326587.831192 272.086835 150508.550916 51.925966 5.755404 5.131956
3539231 0 1 0.007106 0.412700 748193.645347 91.957230 191948.576180 64.455208 5.592756 5.345866
3540873 0 1 0.003376 1.060300 286992.771345 444.042570 152226.049541 52.778350 4.390013 4.734448
3541946 0 1 0.004311 0.022900 384695.042916 1.311843 57311.907036 22.410466 2.234546 2.220188
3541946 1 2 0.022900 0.130400 1.311843 17.790017 12328.132584 11.713944 1.893858 2.051466
3541946 2 3 0.130400 0.258300 17.790017 49.567408 863.104672 12.577243 2.778316 1.770475
